ship_type,ship_id,ship_name,dwt,distance,period,lat,lon,dt,speed
Cargo,182418,TIDAN,4250,596615.7873888686,curr,55.71618,20.80508,2016-12-17T04:33:06Z,107
Cargo,182418,TIDAN,4250,596615.7873888686,prev,57.60259,11.65599,2016-12-15T10:11:05Z,99
Cargo,182425,EKEN,4775,1282.5245717122427,curr,57.98357,12.12594,2016-12-15T05:57:05Z,99
Cargo,182425,EKEN,4775,1282.5245717122427,prev,57.99507,12.12761,2016-12-15T05:55:08Z,102
Cargo,182428,VINGAREN,4748,713851.5336458693,curr,59.92171,30.00018,2016-12-18T14:55:03Z,111
Cargo,182428,VINGAREN,4748,713851.5336458693,prev,55.75435,20.80184,2016-12-13T12:47:06Z,51
Cargo,183675,CITY OF ROME,2794,1643.8389692725173,curr,57.62616,11.68129,2016-12-15T04:29:06Z,130
Cargo,183675,CITY OF ROME,2794,1643.8389692725173,prev,57.61467,11.66392,2016-12-15T04:27:05Z,134
Cargo,188849,ANINA,13720,1876.3056641712342,curr,57.61167,11.6025,2016-12-15T00:51:05Z,152
Cargo,188849,ANINA,13720,1876.3056641712342,prev,57.6115,11.634,2016-12-15T00:49:05Z,139
Cargo,188914,ADELINA D,20580,1928.3338866700954,curr,57.6565,11.75017,2016-12-15T16:05:06Z,143
Cargo,188914,ADELINA D,20580,1928.3338866700954,prev,57.6635,11.77983,2016-12-15T16:03:05Z,144
Cargo,195991,KAREN C,6250,1411.3815245466187,curr,54.53733,18.6585,2016-12-18T11:05:02Z,105
Cargo,195991,KAREN C,6250,1411.3815245466187,prev,54.53817,18.68033,2016-12-18T11:03:06Z,112
Cargo,204416,STORTEBEKER,3159,1283.8564059759797,curr,59.90365,30.0899,2016-12-17T03:51:03Z,97
Cargo,204416,STORTEBEKER,3159,1283.8564059759797,prev,59.90795,30.06853,2016-12-17T03:49:04Z,109
Cargo,204427,PHANTOM,4500,870675.7348842735,curr,54.78657,18.99969,2016-12-18T14:37:01Z,102
Cargo,204427,PHANTOM,4500,870675.7348842735,prev,59.92157,30.00041,2016-12-16T10:05:04Z,95
Cargo,204431,SAXUM,3158,2326.6874000152034,curr,55.72813,21.0776,2016-12-19T21:19:06Z,108
Cargo,204431,SAXUM,3158,2326.6874000152034,prev,55.71747,21.10957,2016-12-19T21:09:06Z,63
Cargo,204546,MSC AMY,22308,1426.1270970982835,curr,57.67567,11.80383,2016-12-17T00:47:05Z,119
Cargo,204546,MSC AMY,22308,1426.1270970982835,prev,57.68117,11.8255,2016-12-17T00:45:08Z,110
Cargo,204565,PINTA,2795,1201.6712911788954,curr,57.87129,12.02258,2016-12-17T02:51:05Z,89
Cargo,204565,PINTA,2795,1201.6712911788954,prev,57.8814,12.02976,2016-12-17T02:49:07Z,109
Cargo,204772,FRI PORSGRUNN,3792,1236.5027408132403,curr,59.90305,30.09235,2016-12-14T15:07:03Z,88
Cargo,204772,FRI PORSGRUNN,3792,1236.5027408132403,prev,59.90734,30.07189,2016-12-14T15:05:05Z,100
Cargo,204901,NORDEROOG,16921,3908.50433602058,curr,59.90061,30.10557,2016-12-20T09:31:04Z,81
Cargo,204901,NORDEROOG,16921,3908.50433602058,prev,59.88723,30.17037,2016-12-20T09:11:04Z,65
Cargo,205264,SUEDEROOG,16939,2228.274961439987,curr,59.89033,30.22363,2016-12-14T10:09:03Z,0
Cargo,205264,SUEDEROOG,16939,2228.274961439987,prev,59.87295,30.20375,2016-12-14T02:29:04Z,0
Cargo,205458,AMBER SPIRIT,5557,4424.967045290549,curr,54.63288,19.89483,2016-12-19T15:33:03Z,93
Cargo,205458,AMBER SPIRIT,5557,4424.967045290549,prev,54.65795,19.84142,2016-12-19T15:15:03Z,76
Cargo,205520,MULTIMAR,4148,1464.302579508231,curr,54.78098,18.93245,2016-12-20T11:07:03Z,87
Cargo,205520,MULTIMAR,4148,1464.302579508231,prev,54.78885,18.91414,2016-12-20T11:01:02Z,87
Cargo,205553,HOOGE,16986,1625.5790818807895,curr,59.91205,30.04817,2016-12-15T15:07:04Z,123
Cargo,205553,HOOGE,16986,1625.5790818807895,prev,59.9176,30.02119,2016-12-15T15:03:04Z,121
Cargo,205637,LIV KRISTIN,2348,2683.9143063240867,curr,54.71239,18.92755,2016-12-16T18:09:02Z,92
Cargo,205637,LIV KRISTIN,2348,2683.9143063240867,prev,54.6979,18.96096,2016-12-16T18:07:01Z,89
Cargo,205767,LISTER,4113,1137.8286069668225,curr,59.91781,30.01933,2016-12-19T03:17:03Z,71
Cargo,205767,LISTER,4113,1137.8286069668225,prev,59.92163,30.00039,2016-12-19T03:15:04Z,92
Cargo,205994,WYBELSUM,17083,1172.410668448257,curr,59.91015,30.05674,2016-12-19T15:29:03Z,81
Cargo,205994,WYBELSUM,17083,1172.410668448257,prev,59.9141,30.03724,2016-12-19T15:27:04Z,98
Cargo,206401,TRANSOSPREY,20396,875565.9429053785,curr,59.92068,30.0053,2016-12-18T14:43:03Z,85
Cargo,206401,TRANSOSPREY,20396,875565.9429053785,prev,54.72713,18.99946,2016-12-16T22:13:02Z,142
Cargo,206519,TASMAN,4535,2548.2019475574734,curr,57.96387,11.71894,2016-12-16T15:51:05Z,99
Cargo,206519,TASMAN,4535,2548.2019475574734,prev,57.98169,11.74611,2016-12-16T15:43:05Z,100
Cargo,206635,ARA ROTTERDAM,10643,91404.03992311984,curr,55.61112,20.80787,2016-12-14T19:23:06Z,116
Cargo,206635,ARA ROTTERDAM,10643,91404.03992311984,prev,55.00592,19.83046,2016-12-14T17:41:02Z,100
Cargo,212317,MSC MANDRAKI,60639,1708.3436203634487,curr,55.72766,20.88405,2016-12-13T11:53:06Z,150
Cargo,212317,MSC MANDRAKI,60639,1708.3436203634487,prev,55.72787,20.85677,2016-12-13T11:51:06Z,177
Cargo,222305,SANDETTIE,2934,43597.719666608304,curr,54.75603,18.96664,2016-12-14T10:09:01Z,58
Cargo,222305,SANDETTIE,2934,43597.719666608304,prev,54.40707,18.65818,2016-12-14T02:51:02Z,0
Cargo,222372,LURO,4919,1343.6398035181146,curr,57.87833,12.0275,2016-12-15T05:57:05Z,97
Cargo,222372,LURO,4919,1343.6398035181146,prev,57.8895,12.03617,2016-12-15T05:55:08Z,96
Cargo,222824,LECKO,4775,5028.7614289306175,curr,57.65167,11.72317,2016-12-20T10:27:05Z,110
Cargo,222824,LECKO,4775,5028.7614289306175,prev,57.61483,11.67417,2016-12-20T10:11:05Z,110
Cargo,226006,FREYA,6850,2093.7761598608804,curr,57.66083,11.77167,2016-12-15T16:05:06Z,152
Cargo,226006,FREYA,6850,2093.7761598608804,prev,57.67333,11.798,2016-12-15T16:03:05Z,153
Cargo,226912,HENDRIKA MARGARETHA,3200,552118.9851737072,curr,54.79905,18.5848,2016-12-19T16:45:06Z,117
Cargo,226912,HENDRIKA MARGARETHA,3200,552118.9851737072,prev,57.92032,11.60437,2016-12-13T20:05:05Z,101
Cargo,231568,ENFORCER,9450,2409.2201532242666,curr,54.53548,18.55798,2016-12-16T12:57:07Z,68
Cargo,231568,ENFORCER,9450,2409.2201532242666,prev,54.53519,18.59532,2016-12-16T12:55:07Z,109
Cargo,245589,ANJELIERSGRACHT,12150,1575.4899696863313,curr,57.93012,11.67011,2016-12-16T10:47:05Z,122
Cargo,245589,ANJELIERSGRACHT,12150,1575.4899696863313,prev,57.94062,11.68803,2016-12-16T10:45:05Z,125
Cargo,246960,NJORD,8001,1472.4616587639307,curr,59.90729,30.07167,2016-12-19T09:51:03Z,111
