ship_type,ship_id,ship_name
Fishing,316093,ZAG 31
Fishing,316100,KOL-148
Fishing,316106,WLA 31
Fishing,316111,WLA-207
Fishing,316117,WLA-196
Fishing,316133,DZI 85
Fishing,316135,WLA 60
Fishing,316150,WLA 11
Fishing,316171,WLA-39
Fishing,316178,WLA182
Fishing,316187,WLA-58
Fishing,316202,WLA 80
Fishing,316212,WLA-65
Fishing,316236,WLA-67
Fishing,316237,KPT.WISNIEWSKI
Fishing,316242,ANCILLA WLA-68
Fishing,316331,KOL-143
Fishing,316334,HEL-4
Fishing,316335,KUZ-42
Fishing,316405,HEL-30
Fishing,316410,WLA-84
Fishing,316518,ZAG-21
Fishing,316599,BALTICA
Fishing,316934,FRANEK ZUBRZYCKI
Fishing,317379,ORKA WLA-139
Fishing,320059,SKAGERAK
Fishing,320479,GINNETON
Fishing,323609,GG 668 SILVER
Fishing,324190,GG451 MIA
Fishing,324232,RODSKAR GG430
Fishing,324534,GG1206 DANO
Fishing,324559,SKRAALLAN
Fishing,324714,GG102 MAUDAN
Fishing,324760,GG292 MARTINA
Fishing,325147,GG 65 CORIOLA
Fishing,325546,GG 690 VINGASAND
Fishing,325679,RON
Fishing,325703,BISCAYA GG34
Fishing,325888,SVANVIK
Fishing,326432,RUNAVIK GG 44
Fishing,326438,ALVSBORG
Fishing,326451,RANDI
Fishing,326456,DANAFJORD
Fishing,326471,VALOSKAR
Fishing,326481,TOR-ON
Fishing,326486,TORLAND
Fishing,326496,SUNNANLAND
Fishing,326700,"NAUTIC CENTER DEMO"
Fishing,326946,ROSSO
Fishing,326947,INGUN
Fishing,326950,VINGAFJORD GG-173
Fishing,326954,SVANEN
Fishing,326955,GOTTSKAR
Fishing,327052,GLITTFORS
Fishing,327056,VERA C
Fishing,327150,AHLMA
Fishing,327445,GANTHI
Fishing,327492,VASTERLAND
Fishing,327566,CLIPPERTON
Fishing,327673,CLIPPFJORD
Fishing,345582,VALERIY DZHAPARIDZE
Fishing,345587,NIVENSKOYE
Fishing,345600,ATLANTIDA
Fishing,345748,KAPITAN KRAVCHENKO
Fishing,350212,BRATYA STOYANOVY
Fishing,351078,BORIS SYROMYATNIKOV
Fishing,351087,KURSHSKAYA KOSA
Fishing,351089,LIRA
Fishing,351093,KAPITAN EDEMSKIY
Fishing,351515,NIKOLAY SOLODCHUK
Fishing,352123,KRISTINA
Fishing,352167,"NAUTILUS"
Fishing,352184,VITAS
Fishing,352203,RONDO
Fishing,352224,AGNESE
Fishing,352381,ALBATROSS
Fishing,352391,FENIKSS
Fishing,352402,JURMALA
Fishing,353098,MIKADON
Fishing,353278,DARIUS
Fishing,353285,LBB-1010
Fishing,353287,694
Fishing,353293,100
Fishing,353296,LBB 1113
Fishing,353297,LBB 1107
Fishing,353299,LBB 1032
Fishing,353302,LBB 1094
Fishing,353303,LBB 1044
Fishing,353305,LBB 1066
Fishing,353306,169
Fishing,353310,652
Fishing,353313,LBB-6931
Fishing,353315,756
Fishing,353330,ATLANT
Fishing,1105688,HEL 95
Fishing,1124170,JAS 61
Fishing,1193077,STRANNEFJORD
Fishing,1193771,SANDEFJORD
Fishing,1198107,HEL-125
Fishing,1442009,ENSKAR
Fishing,3061267,DAR-10
Fishing,3351142,BOOTES
Fishing,3351578,MARINA
Fishing,3351708,SONGVAR
Fishing,3352463,GG32 TRISTAN
Fishing,3622626,EROS AV HONO
Fishing,3701886,MARINO
Fishing,3711966,LIZ
Fishing,3780703,PL ZAG-17
Fishing,3804786,GG 38 TOVEN
Fishing,3814579,GG75 MANILL
Fishing,3862045,JAS-79
Fishing,3936535,ULRIKA
Fishing,3955261,WLA-85
Fishing,4032661,GG976 SVANFORS
Fishing,4100642,HEL-6
Fishing,4156224,STARYY ARBAT
Fishing,4190565,OCEANOGRAF
Fishing,4195618,WLA 250
Fishing,4221324,KLONDYKE
Fishing,4320524,SAIBON LL1248
Fishing,4387258,GG 391 ELISABETH
Fishing,4610570,LAGUN
Fishing,4618693,PIA-96
Fishing,4653928,GG43 ANNA
Fishing,4661124,SUJINYU00618
High Special,323857,POLIS 593790
High Special,323964,RIVO
High Special,323966,VALO
Navigation,850625,BY NP
Navigation,850632,P9 HYDRO METEO
Navigation,850641,BY HEL
Navigation,850644,BY GD
Navigation,851186,ST.-PETERSBURG PT LE
Navigation,2288508,35
Navigation,2288513,36
Passenger,149677,PRINCESS ANASTASIA
Passenger,201103,STENA BALTICA
Passenger,280027,SCOTTISH VIKING
Passenger,315695,RUBIN
Passenger,315775,AGAT
Passenger,319954,STENA DANICA
Passenger,320105,STENA VISION
Passenger,320177,ORIGO
Passenger,320298,STENA JUTLANDICA
